2020-01-26 10:46:33,874 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | Thread-16
2020-01-26 10:49:51,795 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 10:49:51 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 10:49:52,319 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData/broker2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2020-01-26 10:49:52,332 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb] | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:49:52,340 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:50:02,341 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:50:12,343 | INFO  | Database /Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock is locked... waiting 10 seconds for the database to be unlocked. Reason: java.io.IOException: File '/Users/javabrain/Documents/apps/Master-Slave/sharedData/kahadb/lock' could not be locked. | org.apache.activemq.store.SharedFileLocker | main
2020-01-26 10:50:22,530 | INFO  | KahaDB is version 4 | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:50:22,542 | INFO  | Recovering from the journal ... | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:50:22,543 | INFO  | Recovery replayed 4 operations from the journal in 0.01 seconds. | org.apache.activemq.store.kahadb.MessageDatabase | main
2020-01-26 10:50:22,684 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63317-1580016022556-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:50:22,697 | INFO  | Listening for connections at: tcp://localhost:61626?maximumConnections=1000&wireformat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2020-01-26 10:50:22,698 | INFO  | Connector openwire Started | org.apache.activemq.broker.TransportConnector | main
2020-01-26 10:50:22,699 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63317-1580016022556-0:1) started | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:50:22,699 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2020-01-26 10:50:23,105 | INFO  | Web console type: embedded | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 10:50:23,204 | INFO  | ActiveMQ WebConsole initialized. | org.apache.activemq.web.WebConsoleStarter | main
2020-01-26 10:50:23,254 | INFO  | Initializing Spring FrameworkServlet 'dispatcher' | /admin | main
2020-01-26 10:53:20,192 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63317-1580016022556-0:1) is shutting down | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 10:53:21,040 | INFO  | Connector openwire Stopped | org.apache.activemq.broker.TransportConnector | ActiveMQ ShutdownHook
2020-01-26 10:53:21,045 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData/broker2/tmp_storage] stopped | org.apache.activemq.store.kahadb.plist.PListStoreImpl | ActiveMQ ShutdownHook
2020-01-26 10:53:21,045 | INFO  | Stopping async queue tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 10:53:21,045 | INFO  | Stopping async topic tasks | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 10:53:21,046 | INFO  | Stopped KahaDB | org.apache.activemq.store.kahadb.KahaDBStore | ActiveMQ ShutdownHook
2020-01-26 10:53:21,377 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63317-1580016022556-0:1) uptime 3 minutes | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 10:53:21,377 | INFO  | Apache ActiveMQ 5.8.0 (broker2, ID:Abhijeets-MacBook-Pro.local-63317-1580016022556-0:1) is shutdown | org.apache.activemq.broker.BrokerService | ActiveMQ ShutdownHook
2020-01-26 10:53:21,377 | INFO  | Closing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 10:49:51 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | ActiveMQ ShutdownHook
2020-01-26 10:53:21,411 | INFO  | Destroying Spring FrameworkServlet 'dispatcher' | /admin | ActiveMQ ShutdownHook
2020-01-26 10:53:45,153 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@66a3ffec: startup date [Sun Jan 26 10:53:45 IST 2020]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2020-01-26 10:53:45,672 | INFO  | PListStore:[/Users/javabrain/Documents/apps/Master-Slave/sharedData/broker2/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
